system:index,east,mean,north,south,west,.geo
0_21,75.21751229500882,1931.9792232895593,29.605780772151988,29.54617302599793,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.54617302599793],[75.21751229500882,29.54617302599793],[75.21751229500882,29.605780772151988],[75.15630221535736,29.605780772151988],[75.15630221535736,29.54617302599793]]]}"
0_22,75.27872237466028,1932.2349761583653,29.605780772151988,29.54617302599793,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.54617302599793],[75.27872237466028,29.54617302599793],[75.27872237466028,29.605780772151988],[75.21751229500882,29.605780772151988],[75.21751229500882,29.54617302599793]]]}"
0_23,75.33993245431174,1932.687275330828,29.605780772151988,29.54617302599793,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.54617302599793],[75.33993245431174,29.54617302599793],[75.33993245431174,29.605780772151988],[75.27872237466028,29.605780772151988],[75.27872237466028,29.54617302599793]]]}"
1_21,75.21751229500882,1932.0920902465166,29.665388518306045,29.605780772151988,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.605780772151988],[75.21751229500882,29.605780772151988],[75.21751229500882,29.665388518306045],[75.15630221535736,29.665388518306045],[75.15630221535736,29.605780772151988]]]}"
1_22,75.27872237466028,1932.7278583826794,29.665388518306045,29.605780772151988,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.605780772151988],[75.27872237466028,29.605780772151988],[75.27872237466028,29.665388518306045],[75.21751229500882,29.665388518306045],[75.21751229500882,29.605780772151988]]]}"
1_23,75.33993245431174,1931.2857865041983,29.665388518306045,29.605780772151988,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.605780772151988],[75.33993245431174,29.605780772151988],[75.33993245431174,29.665388518306045],[75.27872237466028,29.665388518306045],[75.27872237466028,29.605780772151988]]]}"
1_24,75.4011425339632,1930.8546343534179,29.665388518306045,29.605780772151988,75.33993245431174,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.33993245431174,29.605780772151988],[75.4011425339632,29.605780772151988],[75.4011425339632,29.665388518306045],[75.33993245431174,29.665388518306045],[75.33993245431174,29.605780772151988]]]}"
2_21,75.21751229500882,1932.4398943913845,29.724996264460103,29.665388518306045,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.665388518306045],[75.21751229500882,29.665388518306045],[75.21751229500882,29.724996264460103],[75.15630221535736,29.724996264460103],[75.15630221535736,29.665388518306045]]]}"
2_22,75.27872237466028,1932.9055443806533,29.724996264460103,29.665388518306045,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.665388518306045],[75.27872237466028,29.665388518306045],[75.27872237466028,29.724996264460103],[75.21751229500882,29.724996264460103],[75.21751229500882,29.665388518306045]]]}"
2_23,75.33993245431174,1931.389825666796,29.724996264460103,29.665388518306045,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.665388518306045],[75.33993245431174,29.665388518306045],[75.33993245431174,29.724996264460103],[75.27872237466028,29.724996264460103],[75.27872237466028,29.665388518306045]]]}"
