system:index,east,max,mean,min,north,south,stdDev,west,.geo
0_21,75.21751229500882,1932.3791795816778,1931.9792232895593,1931.8624481149848,29.605780772151988,29.54617302599793,0.21723930003593506,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.54617302599793],[75.21751229500882,29.54617302599793],[75.21751229500882,29.605780772151988],[75.15630221535736,29.605780772151988],[75.15630221535736,29.54617302599793]]]}"
0_22,75.27872237466028,1932.9302558287486,1932.2349761583653,1931.8624481149848,29.605780772151988,29.54617302599793,0.3828022705709557,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.54617302599793],[75.27872237466028,29.54617302599793],[75.27872237466028,29.605780772151988],[75.21751229500882,29.605780772151988],[75.21751229500882,29.54617302599793]]]}"
0_23,75.33993245431174,1932.7311418402662,1932.687275330828,1932.672074065181,29.605780772151988,29.54617302599793,0.02953388979380752,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.54617302599793],[75.33993245431174,29.54617302599793],[75.33993245431174,29.605780772151988],[75.27872237466028,29.605780772151988],[75.27872237466028,29.54617302599793]]]}"
1_21,75.21751229500882,1932.6110307062982,1932.0920902465166,1931.8229958602528,29.665388518306045,29.605780772151988,0.30798851640934105,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.605780772151988],[75.21751229500882,29.605780772151988],[75.21751229500882,29.665388518306045],[75.15630221535736,29.665388518306045],[75.15630221535736,29.605780772151988]]]}"
1_22,75.27872237466028,1933.3489124879854,1932.7278583826794,1931.932462864552,29.665388518306045,29.605780772151988,0.5019354914562514,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.605780772151988],[75.27872237466028,29.605780772151988],[75.27872237466028,29.665388518306045],[75.21751229500882,29.665388518306045],[75.21751229500882,29.605780772151988]]]}"
1_23,75.33993245431174,1932.7311418402662,1931.2857865041983,1930.3848926239098,29.665388518306045,29.605780772151988,1.0136196429883977,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.605780772151988],[75.33993245431174,29.605780772151988],[75.33993245431174,29.665388518306045],[75.27872237466028,29.665388518306045],[75.27872237466028,29.605780772151988]]]}"
1_24,75.4011425339632,1930.8546343534179,1930.8546343534179,1930.8546343534179,29.665388518306045,29.605780772151988,0.0,75.33993245431174,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.33993245431174,29.605780772151988],[75.4011425339632,29.605780772151988],[75.4011425339632,29.665388518306045],[75.33993245431174,29.665388518306045],[75.33993245431174,29.605780772151988]]]}"
2_21,75.21751229500882,1932.8060195112641,1932.4398943913845,1931.5649854263825,29.724996264460103,29.665388518306045,0.5199940361793672,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.665388518306045],[75.21751229500882,29.665388518306045],[75.21751229500882,29.724996264460103],[75.15630221535736,29.724996264460103],[75.15630221535736,29.665388518306045]]]}"
2_22,75.27872237466028,1933.3489124879854,1932.9055443806533,1932.6110307062982,29.724996264460103,29.665388518306045,0.28485045219436844,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.665388518306045],[75.27872237466028,29.665388518306045],[75.27872237466028,29.724996264460103],[75.21751229500882,29.724996264460103],[75.21751229500882,29.665388518306045]]]}"
2_23,75.33993245431174,1932.2040543175253,1931.389825666796,1930.3848926239098,29.724996264460103,29.665388518306045,0.6738814591986213,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.665388518306045],[75.33993245431174,29.665388518306045],[75.33993245431174,29.724996264460103],[75.27872237466028,29.724996264460103],[75.27872237466028,29.665388518306045]]]}"
